EUNIS code,EUNIS habitat name,Distribution map,Suitability map,Probability map
MA211,Arctic coastal saltmarsh,x,x,
MA221,Atlantic saltmarsh driftline,x,x,
MA222,Atlantic upper saltmarsh,x,x,
MA223,"Atlantic upper-mid saltmarsh and saline and brackish reed, rush and sedge bed",x,x,
MA224,Atlantic mid-low saltmarsh,x,x,
MA225,Atlantic pioneer saltmarsh,x,x,
MA232,Baltic coastal meadow,x,x,
MA241,Black Sea littoral saltmarsh,x,x,
MA251,Mediterranean upper saltmarsh,x,x,
MA252,"Mediterranean upper-mid saltmarsh and saline and brackish reed, rush and sedge bed",x,x,
MA253,Mediterranean mid-low saltmarsh,x,x,
N11,"Atlantic, Baltic and Arctic sand beach",x,x,
N12,Mediterranean and Black Sea sand beach,x,x,
N13,Atlantic and Baltic shifting coastal dune,x,x,
N14,"Mediterranean, Macaronesian and Black Sea shifting coastal dune",x,x,
N15,Atlantic and Baltic coastal dune grassland (grey dune),x,x,
N16,Mediterranean and Macaronesian coastal dune grassland (grey dune),x,x,
N17,Black Sea coastal dune grassland (grey dune),x,x,
N18,Atlantic and Baltic coastal Empetrum heath,x,x,
N19,Atlantic coastal Calluna and Ulex heath,x,x,
N1A,Atlantic and Baltic coastal dune scrub,x,x,
N1B,Mediterranean and Black Sea coastal dune scrub,x,x,
N1C,Macaronesian coastal dune scrub,x,,
N1D,Atlantic and Baltic broad-leaved coastal dune forest,x,x,
N1E,Black Sea broad-leaved coastal dune forest,x,,
N1F,Baltic coniferous coastal dune forest,x,x,
N1G,Mediterranean coniferous coastal dune forest,x,x,
N1H,Atlantic and Baltic moist and wet dune slack,x,x,
N1J,Mediterranean and Black Sea moist and wet dune slack,x,x,
N21,"Atlantic, Baltic and Arctic coastal shingle beach",x,x,
N22,Mediterranean and Black Sea coastal shingle beach,x,,
N31,Atlantic and Baltic rocky sea cliff and shore,x,x,
N32,Mediterranean and Black Sea rocky sea cliff and shore,x,x,
N33,Macaronesian rocky sea cliff and shore,x,,
N34,Atlantic and Baltic soft sea cliff,x,,
N35,Mediterranean and Black Sea soft sea cliff,x,,
R11,Pannonian and Pontic sandy steppe,x,x,
R12,Cryptogam- and annual-dominated vegetation on siliceous rock outcrops,x,x,
R13,Cryptogam- and annual-dominated vegetation on calcareous and ultramafic rock outcrops,x,x,
R14,Perennial rocky grassland of the Italian Peninsula,x,x,
R15,Continental dry rocky steppic grassland and dwarf scrub on chalk outcrops,x,x,
R16,Perennial rocky grassland of Central and South-Eastern Europe,x,x,
R17,Heavy-metal dry grassland of the Balkans,x,x,
R18,Perennial rocky calcareous grassland of subatlantic-submediterranean Europe,x,x,
R19,Dry steppic submediterranean pasture of the Amphi-Adriatic region,x,x,
R1A,Semi-dry perennial calcareous grassland (meadow steppe),x,x,
R1B,Continental dry grassland (true steppe),x,x,
R1C,Desert steppe,x,,
R1D,Mediterranean closely grazed dry grassland,x,x,
R1E,Mediterranean tall perennial dry grassland,x,x,
R1F,Mediterranean annual-rich dry grassland,x,x,
R1G,Iberian oromediterranean siliceous dry grassland,x,x,
R1H,Iberian oromediterranean basiphilous dry grassland,x,x,
R1J,Cyrno-Sardean oromediterranean siliceous dry grassland,x,x,
R1K,Balkan and Anatolian oromediterranean dry grassland,x,x,
R1L,Madeiran oromediterranean siliceous dry grassland,x,,
R1M,"Lowland to montane, dry to mesic grassland usually dominated by Nardus stricta",x,x,
R1N,Open Iberian supramediterranean dry acid and neutral grassland,x,x,
R1P,Oceanic to subcontinental inland sand grassland on dry acid and neutral soils,x,x,
R1Q,Inland sanddrift and dune with siliceous grassland,x,x,
R1R,"Mediterranean to Atlantic open, dry, acid and neutral grassland",x,x,
R1S,Heavy-metal grassland in Western and Central Europe,x,x,
R1T,"Azorean open, dry, acid to neutral grassland",x,,
R21,Mesic permanent pasture of lowlands and mountains,x,x,
R22,Low and medium altitude hay meadow,x,x,
R23,Mountain hay meadow,x,x,
R24,Iberian summer pasture (vallicar),x,x,
R31,Mediterranean tall humid inland grassland,x,x,
R32,Mediterranean short moist grassland of lowlands,x,x,
R33,Mediterranean short moist grassland of mountains,x,x,
R34,Submediterranean moist meadow,x,x,
R35,Moist or wet mesotrophic to eutrophic hay meadow,x,x,
R36,Moist or wet mesotrophic to eutrophic pasture,x,x,
R37,Temperate and boreal moist or wet oligotrophic grassland,x,x,
R41,Snow-bed vegetation,x,x,
R42,Boreal and arctic acidophilous alpine grassland,x,x,
R43,Temperate acidophilous alpine grassland,x,x,
R44,Arctic-alpine calcareous grassland,x,x,
R45,Alpine and subalpine calcareous grassland of the Balkans and Apennines,x,x,
R51,Thermophilous forest fringe of base-rich soils,x,x,
R52,Forest fringe of acidic nutrient-poor soils,x,x,
R53,Macaronesian thermophilous forest fringe,x,,
R54,Pteridium aquilinum vegetation,x,x,
R55,Lowland moist or wet tall-herb and fern fringe,x,x,
R56,Montane to subalpine moist or wet tall-herb and fern fringe,x,x,
R57,Herbaceous forest clearing vegetation,x,x,
R61,Mediterranean inland salt steppe,x,x,
R62,Continental inland salt steppe,x,x,
R63,Temperate inland salt marsh,x,x,
R64,Semi-desert salt pan,x,x,
R65,Continental subsaline alluvial pasture and meadow,x,x,
R71,Temperate wooded pasture and meadow,,,
R72,Hemiboreal and boreal wooded pasture and meadow,,,
R73,Mediterranean wooded pasture and meadow,,,
S11,Shrub tundra,x,x,
S12,Moss and lichen tundra,x,x,
S21,Subarctic and alpine dwarf Salix scrub,x,x,
S22,Alpine and subalpine ericoid heath,x,x,
S23,Alpine and subalpine Juniperus scrub,x,x,
S24,Subalpine genistoid scrub of the Amphi-Adriatic region,x,x,
S25,Subalpine and subarctic deciduous scrub,x,x,
S26,Subalpine Pinus mugo scrub,x,x,
S31,Lowland to montane temperate and submediterranean Juniperus scrub,x,x,
S32,Temperate Rubus scrub,x,x,
S33,Lowland to montane temperate and submediterranean genistoid scrub,x,x,
S34,Balkan-Anatolian submontane genistoid scrub,x,x,
S35,Temperate and submediterranean thorn scrub,x,x,
S36,Low steppic scrub,x,x,
S37,Corylus avellana scrub,x,x,
S38,Temperate forest clearing scrub,x,x,
S41,Wet heath,x,x,
S42,Dry heath,x,x,
S43,Macaronesian heath,x,,
S51,Mediterranean maquis and arborescent matorral,x,x,
S52,Submediterranean pseudomaquis,x,x,
S53,Spartium junceum scrub,x,x,
S54,Thermomediterranean arid scrub,x,x,
S61,Western basiphilous garrigue,x,x,
S62,Western acidophilous garrigue,x,x,
S63,Eastern garrigue,x,x,
S64,Macaronesian garrigue,x,,
S65,Mediterranean gypsum scrub,x,x,
S66,Mediterranean halo-nitrophilous scrub,x,x,
S67,Aralo-Caspian semi-desert,x,,
S68,Semi-desert sand dune with sparse scrub,x,,
S71,Western Mediterranean spiny heath,x,x,
S72,Eastern Mediterranean spiny heath (phrygana),x,x,
S73,Western Mediterranean mountain hedgehog-heath,x,x,
S74,Central Mediterranean mountain hedgehog-heath,x,x,
S75,Eastern Mediterranean mountain hedgehog-heath,x,x,
S76,Canarian mountain hedgehog-heath,x,,
S81,Canarian xerophytic scrub,x,,
S82,Madeiran xerophytic scrub,x,,
S91,Temperate riparian scrub,x,x,
S92,Salix fen scrub,x,x,
S93,Mediterranean riparian scrub,x,x,
S94,Semi-desert riparian scrub,x,,
T11,Temperate Salix and Populus riparian forest,x,x,
T12,Alnus glutinosa-Alnus incana forest on riparian and mineral soils,x,x,
T13,Temperate hardwood riparian forest,x,x,
T14,Mediterranean and Macaronesian riparian forest,x,x,
T15,Broadleaved swamp forest on non-acid peat,x,x,
T16,Broadleaved mire forest on acid peat,x,x,
T17,Fagus forest on non-acid soils,x,x,
T18,Fagus forest on acid soils,x,x,
T19,Temperate and submediterranean thermophilous deciduous forest,x,x,
T1A,Mediterranean thermophilous deciduous forest,x,x,
T1B,Acidophilous Quercus forest,x,x,
T1C,Temperate and boreal mountain Betula and Populus tremula forest on mineral soils,x,x,
T1D,Southern European mountain Betula and Populus tremula forest on mineral soils,x,x,
T1E,Carpinus and Quercus mesic deciduous forest,x,x,
T1F,Ravine forest,x,x,
T1G,Alnus cordata forest,x,x,
T1H,Broadleaved deciduous plantation of non site-native trees,x,x,
T1J,Deciduous self sown forest of non site-native trees,,,
T1K,Broadleaved deciduous plantation of site-native trees,,,
T21,Mediterranean evergreen Quercus forest,x,x,
T22,Mainland laurophyllous forest,x,x,
T23,Macaronesian laurophyllous forest,x,,
T24,Olea europaea-Ceratonia siliqua forest,x,x,
T25,Phoenix theophrasti vegetation,x,,
T26,Phoenix canariensis vegetation,x,,
T27,Ilex aquifolium forest,x,x,
T28,Macaronesian heathy forest,x,,
T29,Broadleaved evergreen plantation of non site-native trees,x,x,
T2A,Broadleaved evergreen plantation of site-native trees,,,
T31,Temperate mountain Picea forest,x,x,
T32,Temperate mountain Abies forest,x,x,
T33,Mediterranean mountain Abies forest,x,x,
T34,"Temperate subalpine Larix, Pinus cembra and Pinus uncinata forest",x,x,
T35,Temperate continental Pinus sylvestris forest,x,x,
T36,Temperate and submediterranean montane Pinus sylvestris-Pinus nigra forest,x,x,
T37,Mediterranean montane Pinus sylvestris-Pinus nigra forest,x,x,
T38,Mediterranean montane Cedrus forest,x,x,
T39,Mediterranean and Balkan subalpine Pinus heldreichii-Pinus peuce forest,x,x,
T3A,Mediterranean lowland to submontane Pinus forest,x,x,
T3B,Pinus canariensis forest,x,, 
T3C,Taxus baccata forest,x,x,
T3D,Mediterranean Cupressaceae forest,x,x,
T3E,Macaronesian Juniperus forest,x,,
T3F,Dark taiga,x,x,
T3G,Pinus sylvestris light taiga,x,x,
T3H,Larix light taiga,x,,
T3J,Pinus and Larix mire forest,x,x,
T3K,Picea mire forest,x,x,
T3L,Coniferous self-sown forest of non site-native trees,,,
T3M,Coniferous plantation of non site-native trees,x,x,
U11,Cave,,,
U12,Disused underground mines and tunnels,,,
